datetime,open,high,low,close,volume
2024-03-07 16:15:00,18264.25,18266.75,18200.25,18204.75,3424
2024-03-07 16:16:00,18204.5,18212.5,18159.0,18176.0,3426
2024-03-07 16:17:00,18177.0,18230.5,18174.75,18229.25,2457
2024-03-07 16:18:00,18229.0,18272.75,18226.25,18246.5,2613
2024-03-07 16:19:00,18245.25,18245.75,18215.0,18221.25,1169
2024-03-07 16:20:00,18221.0,18230.0,18218.25,18223.0,628
2024-03-07 16:21:00,18223.0,18237.0,18219.0,18232.75,447
2024-03-07 16:22:00,18231.75,18231.75,18200.25,18205.0,1179
2024-03-07 16:23:00,18203.75,18210.75,18199.75,18206.25,751
2024-03-07 16:24:00,18205.5,18210.0,18198.0,18203.0,568
2024-03-07 16:25:00,18204.0,18208.0,18199.5,18207.5,329
2024-03-07 16:26:00,18208.0,18223.75,18207.0,18218.75,844
2024-03-07 16:27:00,18219.75,18224.0,18204.25,18223.75,577
2024-03-07 16:28:00,18222.5,18233.0,18218.5,18231.75,482
2024-03-07 16:29:00,18230.0,18233.0,18222.5,18232.0,341
2024-03-07 16:30:00,18230.75,18232.0,18225.0,18226.75,224
2024-03-07 16:31:00,18226.75,18230.75,18226.0,18228.75,132
2024-03-07 16:32:00,18228.75,18234.5,18227.5,18227.75,173
2024-03-07 16:33:00,18227.5,18227.75,18223.5,18224.5,185
2024-03-07 16:34:00,18225.75,18227.5,18213.25,18217.25,500
2024-03-07 16:35:00,18218.25,18219.0,18208.0,18210.75,364
2024-03-07 16:36:00,18211.25,18223.0,18206.25,18222.25,420
2024-03-07 16:37:00,18223.25,18248.25,18219.0,18240.75,656
2024-03-07 16:38:00,18240.5,18247.0,18240.0,18240.0,275
2024-03-07 16:39:00,18239.75,18246.25,18239.25,18243.5,143
2024-03-07 16:40:00,18243.0,18245.75,18239.25,18241.0,179
2024-03-07 16:41:00,18240.25,18245.0,18238.5,18244.0,127
2024-03-07 16:42:00,18245.25,18254.25,18242.0,18244.5,356
2024-03-07 16:43:00,18245.25,18245.75,18233.75,18236.5,156
2024-03-07 16:44:00,18237.5,18239.25,18235.75,18238.25,125
2024-03-07 16:45:00,18239.25,18240.75,18230.25,18240.5,231
2024-03-07 16:46:00,18240.5,18244.75,18239.0,18240.75,147
2024-03-07 16:47:00,18240.75,18244.25,18240.25,18242.25,58
2024-03-07 16:48:00,18241.25,18247.0,18241.0,18247.0,90
2024-03-07 16:49:00,18245.75,18246.75,18237.75,18238.5,155
2024-03-07 16:50:00,18238.5,18244.0,18237.25,18242.0,99
2024-03-07 16:51:00,18243.5,18256.5,18243.5,18254.25,254
2024-03-07 16:52:00,18254.5,18261.25,18253.0,18258.25,341
2024-03-07 16:53:00,18258.0,18259.0,18255.25,18257.0,164
2024-03-07 16:54:00,18256.75,18259.5,18255.5,18255.5,98
